alacritty 0.13.2-2
android-emulator 35.1.4-1
android-sdk-platform-tools 35.0.1-1
android-studio 2024.1.1.11-1
android-tools 35.0.1-2
apache 2.4.61-1
archlinux-xdg-menu 0.7.6.6-2
arena-chess-gui 3.10-1
ark 24.05.2-2
aseprite 1.3.7-1
aspnet-runtime 8.0.6.sdk106-1
audacity 1:3.5.1-3
autokey-common 0.96.0-6
avaloniailspy v7.2-2
awesome 4.3-4
azuredatastudio-bin 1.48.1-1
base 3-2
base-devel 1-1
bat 0.24.0-2
bc 1.07.1-4
binder_linux-dkms 6.8-1
bleachbit 4.6.0-2
blender 17:4.1.1-11
brave-bin 1:1.67.123-1
breeze 6.1.2-1
breeze-gtk 6.1.2-1
btop 1.3.2-1
btrfs-progs 6.9.2-1
cage 0.1.5+r36+ge7d8780-2
cava 0.10.2-2
ccache 4.10-2
cemu 2.0.602+really+2.0.86-1
chromium 126.0.6478.182-1
ckan 1.34.4-1
clion 1:2024.1.4-1
cmake 3.30.0-1
code 1.91.1-1
compfy 1.7.2-1
conky 1.21.3-1
cuda 12.5.1-1
davinci-resolve 18.6.6-4
discord 0.0.60-1
dkms 3.0.12-1
dmenu 5.3-3
dmidecode 3.6-1
dnsmasq 2.90-1
dolphin 24.05.2-1
dotnet-sdk 8.0.6.sdk106-1
downgrade 11.3.0-1
dpkg 1.22.6-1
dunst 1.11.0-1
easyeffects 7.1.7-1
efibootmgr 18-3
egl-wayland 2:1.1.13-2
eigen 3.4.0-2
envision-xr-git r496.6cf5e40-1
feh 3.10.3-1
firefox 128.0-1
fish 3.7.1-2
flameshot 12.1.0-3
flatpak 1:1.15.8-1
freecad 0.21.2-23
gameconqueror 0.17-8
genymotion 3.7.1-1
ghex 46.0-1
gimp 2.10.38-1
git 2.45.2-1
git-lfs 3.5.1-1
glad 2.0.6-3
glava 1.6.3-3
gparted 1.6.0-1
gperf 3.1-5
grim 1.4.1-2
grub 2:2.12-2
grub-customizer 5.2.5-1
gsmartcontrol 1.1.4-1
gst-libav 1.24.5-2
gst-plugin-pipewire 1:1.2.1-1
gst-plugins-bad 1.24.5-2
gst-plugins-ugly 1.24.5-2
gwenview 24.05.2-1
handbrake 1.8.1-1
hdparm 9.65-2
helix 24.03-1
