aegisub 3.3.3-10
alacritty 0.13.2-2
alvr 20.11.0-1
android-sdk-platform-tools 35.0.1-1
android-tools 35.0.2-3
apache 2.4.62-1
archlinux-xdg-menu 0.7.6.6-2
arena-chess-gui 3.10-1
ark 24.08.1-1
aseprite 1.3.8.1-2
aspnet-runtime 8.0.8.sdk108-1
audacity 1:3.6.3-1
autokey-common 0.96.0-6
avaloniailspy v7.2-2
awesome 4.3-4
azuredatastudio-bin 1.49.1-1
base 3-2
base-devel 1-2
bat 0.24.0-2
bc 1.07.1-5
binder_linux-dkms 6.8-1
bisq-bin 1.9.17-1
bleachbit 4.6.1-1
blender 17:4.2.1-2
bolt-launcher 0.9.0-1
breeze 6.1.5-1
breeze-gtk 6.1.5-1
breeze5 6.1.5-1
btop 1.3.2-1
btrfs-progs 6.10.1-2
cage 0.1.5+r36+ge7d8780-2
cava 0.10.2-2
ccache 4.10.2-2
cdrdao 1.2.5-7
cemu 2.2-2
chromium 128.0.6613.137-1
ckan 1.34.4-1
cmake 3.30.3-1
compfy 1.7.2-1
conky 1.21.5-1
cpupower 6.10-2
ddrescue 1.28-1
discord 0.0.68-1
dkms 3.0.12-1
dmenu 5.3-3
dmidecode 3.6-1
dnsmasq 2.90-1
dolphin 24.08.1-1
dotnet-sdk 8.0.8.sdk108-1
downgrade 11.3.0-1
dpkg 1.22.11-1
dunst 1.11.0-1
dvd+rw-tools 7.1-11
easyeffects 7.1.8-2
efibootmgr 18-3
egl-wayland 4:1.1.16-1
eigen 3.4.0-2
electrum 4.5.4-2
element-desktop 1.11.77-1
etherwake 1.09-7
exfatprogs 1.2.5-1
expac 10-10
feh 3.10.3-1
firefox 130.0-1
fish 3.7.1-2
flameshot 12.1.0-5
flatpak 1:1.15.10-1
foliate 3.1.1-1
freeciv 3.1.2-1
fuseiso 20070708-9
gameconqueror 0.17-8
ghex 46.0-1
gimp 2.10.38-1
git 2.46.0-2
git-lfs 3.5.1-1
glad 2.0.7-2
glava 1.6.3-3
google-glog 0.7.1-1
gparted 1.6.0-2
gperf 3.1-5
grim 1.4.1-2
grub 2:2.12-3
grub-customizer 5.2.5-1
gsmartcontrol 1.1.4-1
gst-libav 1.24.7-1
gst-plugin-pipewire 1:1.2.3-1
gst-plugins-bad 1.24.7-1
gst-plugins-ugly 1.24.7-1
gwenview 24.08.1-1
handbrake 1.8.2-1
hdparm 9.65-2
htop 3.3.0-3
hwinfo 23.2-2
hyprland-git 0.43.0.r20.d505b336-1
hyprpaper 0.7.1-1
i2c-tools 4.3-6
i3-wm 4.23-4
i3blocks 1.5-4
i3lock 2.15-2
i3status 2.15-1
imgui 1.91.0-1
intel-media-driver 24.3.2-1
intel-ucode 20240910-1
iotop 0.6-11
iwd 2.22-1
jellyfin-media-player 1.11.1-2
jellyfin-server 10.9.11-1
jellyfin-web 10.9.11-1
jre-openjdk 22.0.2.u9-1
jre8 8u401-1
k3b 1:24.08.1-1
kate 24.08.1-1
kdeconnect 24.08.1-1
kdenlive 24.08.1-1
kdiskmark 3.1.4-1
keepassxc 2.7.9-3
kitty 0.36.2-1
kmines 24.08.1-1
kolourpaint 24.08.1-1
krdc 24.08.1-1
krita 5.2.3-1
krusader 2.8.1-1
kuserfeedback 6.5.0-1
ladybird 20240716-1
lf 32-1
lib32-libva-mesa-driver 1:24.2.2-1
lib32-mesa-utils 9.0.0-2
lib32-nvidia-utils 560.35.03-1
lib32-vulkan-virtio 1:24.2.2-1
libaacs 0.11.1-2
libbdplus 0.2.0-3
libportal 0.8.1-1
libpulse 17.0-3
libreoffice-fresh 24.8.1-1
libusb0 0.1.12-8
libva-intel-driver 2.4.1-3
libvirt 1:10.7.0-2
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-1
linux 6.10.9.arch1-2
linux-firmware 20240909.552ed9b8-1
linux-headers 6.10.9.arch1-2
lld 18.1.8-1
lldb 18.1.8-1
lmms 1.2.2-24
lsp-plugins 1.2.17-1
lutris 0.5.17-5
lzop 1.04-4
man-db 2.13.0-1
mariadb 11.5.2-1
masscan 1.3.2-2
mdadm 4.3-2
minecraft-launcher 1:1.0.1221-3
mingw-w64-binutils 2.39-1
mingw-w64-gcc 13.1.0-1
mingw-w64-headers 11.0.0-1
mingw-w64-openssl 3.3.1-1
mkvtoolnix-gui 87.0-2
mono 6.12.0.206-1
mpc 0.35-1
mpd 0.23.15-6
nano 8.2-1
ncmpcpp 0.10-1
neofetch 7.1.0-2
neovide 0.13.3-2
neovim 0.10.1-3
net-tools 2.10-2
network-manager-applet 1.36.0-1
networkmanager 1.48.10-1
nextcloud 29.0.7-1
nginx 1.26.2-1
nheko 0.12.0-7
nicotine+ 3.3.4-1
nitrogen 1.6.1-6
nmap 7.95-1
nnn 5.0-1
noto-fonts-cjk 20230817-2
nvflash 5.814-2
nvidia-dkms 560.35.03-2
nvidia-prime 1.0-5
nvidia-settings 560.35.03-1
nvidia-utils 560.35.03-2
nvtop 3.1.0-1
nwg-look 0.2.7-1
obs-studio 30.2.1-1
obsidian 1.6.7-1
okteta 1:0.26.17-1
ollama 0.3.9-3
opencl-nvidia 560.35.03-2
opencv 4.10.0-7
openrgb 0.9-4
opentabletdriver 0.6.4.0-4
openvpn 2.6.12-1
os-prober 1.81-2
osu-lazer-bin 2024.906.2-1
papirus-icon-theme 20240501-1
partitionmanager 24.08.1-1
paru 2.0.3-1
paru-debug 2.0.1-1
pavucontrol 1:6.1-1
php-apache 8.3.11-1
php-legacy-imagick 3.7.0-8
php-legacy-sodium 8.2.24-2
picom-git 2656_12.rc4.5.g3820c335_2024.09.10-1
pipewire 1:1.2.3-1
pipewire-alsa 1:1.2.3-1
pipewire-jack 1:1.2.3-1
pipewire-pulse 1:1.2.3-1
plasma-meta 6.1-1
playerctl 2.4.1-4
plocate 1.1.22-3
pngcrush 1.8.13-3
polkit-gnome 0.105-11
polybar 3.7.2-1
powertop 2.15-2
premake 5.0beta2-1
prismlauncher-qt5-bin 8.4-1
projectm 3.1.12-5
proton-ge-custom-bin 1:GE_Proton9_13-1
puddletag 2.4.0-1
python-pip 24.2-1
python-pydub 0.25.1-4
python-pywal 3.3.0-9
python-pywalfox 2.7.4-1
python-toml 0.10.2-10
pywal-discord-git r90.74f72e6-1
qbittorrent 4.6.6-1
qemu-full 9.1.0-2
qt5ct 1.8-2
qt6-xcb-private-headers 6.7.2-2
qt6ct 0.9-9
qtcreator 14.0.1-1
qtile 0.28.1-1
ranger 1.9.3-11
raylib 5.0-1
reaper 7.22-1
redshift 1.12-13
repo 2.45-2
river 0.3.5-2
rofi-wayland 1.7.5+wayland3-2
runelite 1:2.7.1-1
rustup 1.27.1-1
scanmem 0.17-8
schedtool 1.3.0-7
scons 4.8.1-1
sddm 0.21.0-4
sfml 2.6.1-1
smartmontools 7.4-2
sof-firmware 2024.06-1
soulseekqt 20240630-1
spicetify-cli 2.38.3-1
spotify 1:1.2.42.290-1
spotify-tui 0.25.0-4
spotify_dl 8.9.0-2
spotifyd 0.3.5-1
squashfs-tools 4.6.1-2
steam 1.0.0.81-2
stockfish 1:17-1
strace 6.10-1
subtitleedit 4.0.8-1
sway 1:1.9-5
swww 0.9.5-2
syncthing 1.27.12-1
testdisk 7.2-1
the-honkers-railway-launcher-bin 1.8.2-1
themix-full-git 1.15.1-1
thunderbird 115.14.0-1
tidal-hifi-bin 5.16.0-1
tigervnc 1.14.0-1
timeshift 24.06.3-1
tmux 3.4-10
tor-browser-bin 13.5.2-1
tree 2.1.3-1
tty-clock 2.3-2
turbostat 6.10-2
ufw 0.36.2-4
vala 0.56.17-1
veracrypt 1.26.15-1
vim 9.1.0707-1
virglrenderer 1.0.1-2
virt-manager 4.1.0-3
vlc 3.0.21-3
vmware-workstation 17.6.1-2
vscodium-bin 1.93.1.24256-1
vscodium-bin-marketplace 1.76.0-1
vulkan-tools 1.3.269-1
waydroid 1.4.3-1
weston 14.0.0-1
wget 1.24.5-3
wgetpaste 2.34-1
windscribe-v2-bin 2.11.11-1
wine 9.16-1
winetricks 20240105-1
wireless_tools 30.pre9-4
wireplumber 0.5.6-1
xautolock 2.2-7
xcolor 0.5.1-4
xdg-desktop-portal-hyprland-git 1.3.3.r13.ge695669f-1
xdg-utils 1.2.1-1
xdotool 3.20211022.1-2
xenia-git r6950.3d30b2eec-2
xf86-video-intel 1:2.99.917+923+gb74b67f0-2
xorg-server-xephyr 21.1.13-1
xorg-xinit 1.4.2-2
xorg-xinput 1.6.4-2
xorg-xlsclients 1.1.5-2
xorg-xrandr 1.5.2-2
xterm 394-1
xwaylandvideobridge 0.4.0-2
yt-dlp 2024.08.06-1
zip 3.0-11
zram-generator 1.1.2-1
