
2024/01/18 (08:04:53) | ===> btop++ v.1.2.13
2024/01/18 (08:04:53) | ERROR: Invalid RGB decimal value: "rgba(16,27,36,0.6)"

2024/02/26 (20:18:47) | ===> btop++ v.1.3.0
2024/02/26 (20:18:48) | ERROR: Stall in Runner thread, restarting!
2024/02/26 (20:19:04) | ERROR: Stall in Runner thread, restarting!
2024/02/26 (20:19:25) | ERROR: Stall in Runner thread, restarting!
2024/02/26 (20:19:43) | ERROR: Stall in Runner thread, restarting!
2024/02/26 (20:19:57) | ERROR: Stall in Runner thread, restarting!

2024/03/13 (15:20:16) | ===> btop++ v.1.3.2
2024/03/13 (15:20:16) | ERROR: Stall in Runner thread, restarting!
2024/03/13 (15:20:21) | ERROR: Stall in Runner thread, restarting!
2024/03/13 (15:20:27) | ERROR: Stall in Runner thread, restarting!

2024/07/22 (21:57:08) | ===> btop++ v.1.3.2
2024/07/22 (21:57:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
